date,streams
2021-01-24,222237
2021-01-25,243725
2021-01-26,244393
2021-01-27,209192
2021-01-28,206410
2021-01-29,206059
2021-01-30,200155
2021-01-31,187461
2021-02-01,196560
2021-02-02,197348
2021-02-03,195060
2021-02-04,193062
2021-02-05,192941
2021-02-06,221102
2021-02-07,207449
2021-02-08,222051
2021-02-09,221415
2021-02-10,177871
2021-02-11,180148
2021-02-12,176964
2021-02-13,167645
2021-02-14,163506
2021-02-15,166059
2021-02-16,196090
2021-02-17,198860
2021-02-18,205179
2021-02-19,204814
2021-02-20,201138
2021-02-21,185324
2021-02-22,201404
2021-02-23,205688
2021-02-24,200272
2021-02-25,160648
2021-02-26,160468
2021-02-27,154633
2021-02-28,146719
2021-03-01,155028
2021-03-02,156751
2021-03-03,153506
2021-03-04,157993
2021-03-05,186175
2021-03-06,181185
2021-03-07,171663
2021-03-08,181762
2021-03-09,181983
2021-03-10,180080
2021-03-11,178184
2021-03-12,175038
2021-03-13,171520
2021-03-14,161294
2021-03-15,168050
2021-03-16,169794
2021-03-17,169488
2021-03-18,159849
2021-03-19,128749
2021-03-20,120756
2021-03-21,110382
2021-03-22,119297
2021-03-23,118770
2021-03-24,118412
2021-03-25,119768
2021-03-26,118101
2021-03-27,112573
2021-03-28,105590
2021-03-29,113397
2021-03-30,112792
2021-03-31,108198
2021-04-01,98770
2021-04-02,88993
2021-04-03,100994
2021-04-04,103053
2021-04-05,116307
2021-04-06,114785
2021-04-07,112583
2021-04-08,110973
2021-04-09,106593
2021-04-10,99239
2021-04-11,96353
2021-04-12,210657
2021-04-13,211146
2021-04-14,177063
2021-04-15,173913
2021-04-16,176020
2021-04-17,196591
2021-04-18,186436
2021-04-19,204835
2021-04-20,206982
2021-04-21,208752
2021-04-22,206119
2021-04-23,213326
2021-04-24,211101
2021-04-25,201794
2021-04-26,213818
2021-04-27,208588
2021-04-28,209744
2021-04-29,214515
2021-04-30,214679
2021-05-01,205500
2021-05-02,193618
2021-05-03,237727
2021-05-04,242533
2021-05-05,241269
2021-05-06,245496
2021-05-07,236869
2021-05-08,231320
2021-05-09,192980
2021-05-10,203912
2021-05-11,234406
2021-05-12,233333
2021-05-13,241415
2021-05-14,344855
